County,Centerline Miles,Lane-miles,Area (sy),Area (sm),PCI 2008,PCI 2010,PCI 2012,PCI 2014,PCI 2016,PCI 2018,PCI 2020,Change in PCI,Population,LOST Active between 08-20,Measure expired and replaced?,Period Active,LOST Rate,Multiple LOSTS Active at same time?,Average Streets & Roads Percent,Average Local Return Percent,Streets Metric,Local Return Metric,Did the PCI start below 60?,Did the PCI fall below 60?,Pop per lane miles,Most Common Climate Zone,Climate Zone Percentage,CZP1,CZP2,CZP3,CZP4,CZP5,CZP6,CZP7,CZP8,CZP9,CZP10,CZP11,CZP12,CZP13,CZP14,CZP15,CZP16
Alameda,3592,8140,78210590,25.24877002,66,67,68,66,68,68,68,2,1661584,TRUE,FALSE,1.00,0.01,FALSE,0.24,0.24,0.001208,0.001208,FALSE,FALSE,204.1257985,3,0.9200,0.0000,0.0000,0.9167,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0833,0.0000,0.0000,0.0000,0.0000
Alpine,151,302,2139517,0.6907015108,40,45,45,44,44,41,58,18,1159,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,3.837748344,16,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
Amador,477,945,3598703,1.161771371,31,34,33,33,56,51,51,20,39023,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,41.29417989,12,0.9200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9231,0.0000,0.0000,0.0000,0.0769
Butte,1831,3673,29865832,9.641603822,70,67,65,66,65,60,60,-10,223344,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,60.80696978,11,0.7600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7600,0.0000,0.0000,0.0000,0.0000,0.2400
Calaveras,831,1340,8201768,2.647781508,55,53,51,51,51,50,52,-3,45828,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,TRUE,TRUE,34.2,12,0.8600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8571,0.0000,0.0000,0.0000,0.1429
Colusa,761,1247,13240593,4.274468298,61,60,60,62,63,60,61,0,21491,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,17.23416199,11,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Contra Costa,3412,7134,66747390,21.54809853,72,70,71,68,69,71,70,-2,1147788,TRUE,TRUE,1.00,0.01,FALSE,0.20,0.20,0.001001541665,0.001001541665,FALSE,FALSE,160.8898234,12,0.7300,0.0000,0.0000,0.2692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7308,0.0000,0.0000,0.0000,0.0000
Del Norte,323,646,4415355,1.425411609,70,68,64,63,63,60,60,-10,27692,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,42.86687307,1,0.8300,0.8333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667
El Dorado,1399,2684,21458907,6.927591361,62,58,63,63,62,63,63,1,190345,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,70.91840537,12,0.5300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5333,0.0000,0.0000,0.0000,0.4667
Fresno,6214,12595,108361263,34.98232922,74,70,69,69,64,61,60,-14,990204,TRUE,FALSE,1.00,0.01,FALSE,0.30,0.31,0.001505,0.00153,FALSE,FALSE,78.61881699,13,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.9423,0.0000,0.0000,0.0577
Glenn,910,1822,13917626,4.493035253,68,68,68,68,68,68,62,-6,28060,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,15.40065862,11,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Humboldt,1464,2921,24247391,7.827799264,61,56,64,64,63,56,57,-4,136101,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,46.59397467,1,0.6800,0.6842,0.3158,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Imperial,3024,6103,76823230,24.80088778,74,72,57,57,58,55,58,-16,180580,TRUE,TRUE,1.00,0.01,FALSE,0.95,0.95,0.00475,0.00475,FALSE,TRUE,29.58872686,15,0.9400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0588,0.9412,0.0000
Inyo,1133,1832,13681682,4.416865315,75,57,60,62,62,61,62,-13,17930,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,TRUE,9.787117904,16,0.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.7500
Kern,5725,12615,117170333,37.82616639,66,63,64,64,63,63,65,-1,892458,FALSE,FALSE,0.00,0.00,FALSE,,,0,0,FALSE,FALSE,70.74577883,13,0.5700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5714,0.2143,0.0000,0.2143
